symbol,date,open,high,low,close,volume,adjusted
MSFT,2020-03-30,152.440002,160.600006,150.009995,160.229996,63420300,158.983444
MSFT,2020-03-31,159.399994,164.779999,156.559998,157.710007,77927200,156.483047
MSFT,2020-04-01,153,157.75,150.820007,152.110001,57969900,150.92662
MSFT,2020-04-02,151.860001,155.479996,150.360001,155.259995,49630700,154.052109
MSFT,2020-04-03,155.100006,157.380005,152.190002,153.830002,41243300,152.63324
MSFT,2020-04-06,160.320007,166.5,157.580002,165.270004,67111700,163.984238
MSFT,2020-04-07,169.589996,170,163.259995,163.490005,62769000,162.218079
MSFT,2020-04-08,165.669998,166.669998,163.5,165.130005,48318200,163.845306
MSFT,2020-04-09,166.360001,167.369995,163.330002,165.139999,51431800,163.85524
MSFT,2020-04-13,164.350006,165.570007,162.300003,165.509995,41905300,164.222351
MSFT,2020-04-14,169,173.75,168,173.699997,52874300,172.348633
MSFT,2020-04-15,171.199997,173.570007,169.240005,171.880005,40940800,170.542801
MSFT,2020-04-16,174.300003,177.279999,172.899994,177.039993,50479600,175.662643
MSFT,2020-04-17,179.5,180,175.869995,178.600006,52765600,177.210526
MSFT,2020-04-20,176.630005,178.75,174.990005,175.059998,36669600,173.698074
MSFT,2020-04-21,173.5,173.669998,166.110001,167.820007,56203700,166.514404
MSFT,2020-04-22,171.389999,174,170.820007,173.520004,34651600,172.170059
MSFT,2020-04-23,174.110001,175.059998,170.910004,171.419998,32790800,170.08638
MSFT,2020-04-24,172.059998,174.559998,170.710007,174.550003,34305300,173.192032
MSFT,2020-04-27,176.589996,176.899994,173.300003,174.050003,33194400,172.695923
MSFT,2020-04-28,175.589996,175.669998,169.389999,169.809998,34392700,168.488922
MSFT,2020-04-29,173.220001,177.679993,171.880005,177.429993,51286600,176.049622
MSFT,2020-04-30,180,180.399994,176.229996,179.210007,53875900,177.815781
MSFT,2020-05-01,175.800003,178.639999,174.009995,174.570007,39370500,173.211899
MSFT,2020-05-04,174.490005,179,173.800003,178.839996,30372900,177.44863899999999
MSFT,2020-05-05,180.619995,183.649994,179.899994,180.759995,36839200,179.353729
MSFT,2020-05-06,182.080002,184.199997,181.630005,182.539993,32139300,181.119873
MSFT,2020-05-07,184.169998,184.550003,182.580002,183.600006,28316000,182.171631
MSFT,2020-05-08,184.979996,185,183.360001,184.679993,30912600,183.24321
MSFT,2020-05-11,183.149994,187.509995,182.850006,186.740005,30892700,185.287201
MSFT,2020-05-12,186.800003,187.039993,182.300003,182.509995,32038200,181.090103
MSFT,2020-05-13,182.550003,184.050003,176.539993,179.75,44711500,178.351578
MSFT,2020-05-14,177.539993,180.690002,175.679993,180.529999,41873900,179.125519
MSFT,2020-05-15,179.059998,187.059998,177,183.160004,46610400,181.735046
MSFT,2020-05-18,185.75,186.199997,183.960007,184.910004,35306600,183.471436
MSFT,2020-05-19,185.029999,186.600006,183.490005,183.630005,26799100,182.201401
MSFT,2020-05-20,184.809998,185.850006,183.940002,185.660004,31261300,184.728653
MSFT,2020-05-21,185.399994,186.669998,183.289993,183.429993,29119500,182.509842
MSFT,2020-05-22,183.190002,184.460007,182.539993,183.509995,20826900,182.589432
MSFT,2020-05-26,186.339996,186.5,181.100006,181.570007,36073600,180.65918
MSFT,2020-05-27,180.199997,181.990005,176.600006,181.809998,39517100,180.897964
MSFT,2020-05-28,180.740005,184.149994,180.380005,181.399994,33810200,180.490021
MSFT,2020-05-29,182.729996,184.270004,180.410004,183.25,42146700,182.33075
MSFT,2020-06-01,182.539993,183,181.460007,182.830002,22622400,181.912857
MSFT,2020-06-02,184.25,185,181.350006,184.910004,30794600,183.982422
MSFT,2020-06-03,184.820007,185.940002,183.580002,185.360001,27311000,184.430161
MSFT,2020-06-04,184.300003,185.839996,182.300003,182.919998,28761800,182.002396
MSFT,2020-06-05,182.619995,187.729996,182.009995,187.199997,39893600,186.260925
MSFT,2020-06-08,185.940002,188.550003,184.440002,188.360001,33211600,187.4151
MSFT,2020-06-09,188,190.699997,187.259995,189.800003,29783900,188.8479
MSFT,2020-06-10,191.130005,198.520004,191.009995,196.839996,43872300,195.85257
MSFT,2020-06-11,193.130005,195.759995,186.070007,186.270004,52854700,185.335602
MSFT,2020-06-12,190.539993,191.720001,185.179993,187.740005,43345700,186.798218
MSFT,2020-06-15,184.580002,190.820007,184.009995,188.940002,32770200,187.992203
MSFT,2020-06-16,192.889999,195.580002,191.460007,193.570007,42556700,192.598984
MSFT,2020-06-17,195.029999,196.320007,193.690002,194.240005,25655900,193.265625
MSFT,2020-06-18,194,196.490005,194,196.320007,23061600,195.33519
MSFT,2020-06-19,198.589996,199.289993,194.369995,195.149994,44441100,194.171036
MSFT,2020-06-22,195.789993,200.759995,195.229996,200.570007,32818900,199.563873
MSFT,2020-06-23,202.089996,203.949997,201.429993,201.910004,30917400,200.897141
MSFT,2020-06-24,201.600006,203.25,196.559998,197.839996,36740600,196.847549
MSFT,2020-06-25,197.800003,200.610001,195.470001,200.339996,27803900,199.335007
MSFT,2020-06-26,199.729996,199.889999,194.880005,196.330002,54675800,195.345123
MSFT,2020-06-29,195.779999,198.529999,193.550003,198.440002,26701600,197.44455
MSFT,2020-06-30,197.880005,204.399994,197.740005,203.509995,34310300,202.489105
MSFT,2020-07-01,203.139999,206.350006,201.770004,204.699997,32061200,203.673141
MSFT,2020-07-02,205.679993,208.020004,205,206.259995,29315800,205.225311
MSFT,2020-07-06,208.830002,211.130005,208.089996,210.699997,31897600,209.643036
MSFT,2020-07-07,210.449997,214.669998,207.990005,208.25,33600700,207.205322
MSFT,2020-07-08,210.070007,213.259995,208.690002,212.830002,33600000,211.76236
MSFT,2020-07-09,216.330002,216.380005,211.470001,214.320007,33121700,213.244904
MSFT,2020-07-10,213.619995,214.080002,211.080002,213.669998,26177600,212.598145
MSFT,2020-07-13,214.479996,215.800003,206.5,207.070007,38135600,206.03125
MSFT,2020-07-14,206.130005,208.850006,202.029999,208.350006,37591800,207.30484
MSFT,2020-07-15,209.559998,211.330002,205.029999,208.039993,32179400,206.996368
MSFT,2020-07-16,205.399994,205.699997,202.309998,203.919998,29940700,202.897049
MSFT,2020-07-17,204.470001,205.039993,201.389999,202.880005,31635300,201.862274
MSFT,2020-07-20,205,212.300003,203.009995,211.600006,36884800,210.538528
MSFT,2020-07-21,213.660004,213.940002,208.029999,208.75,38105800,207.70282
MSFT,2020-07-22,209.199997,212.300003,208.389999,211.75,49605700,210.687775
MSFT,2020-07-23,207.190002,210.919998,202.149994,202.539993,67457000,201.523972
MSFT,2020-07-24,200.419998,202.860001,197.509995,201.300003,39799500,200.290207
MSFT,2020-07-27,201.470001,203.970001,200.860001,203.850006,30160900,202.827408
MSFT,2020-07-28,203.610001,204.699997,201.740005,202.020004,23251400,201.006592
MSFT,2020-07-29,202.5,204.649994,202.009995,204.059998,19632600,203.036346
MSFT,2020-07-30,201,204.460007,199.570007,203.899994,25079600,202.877151
