symbol,date,open,high,low,close,volume,adjusted
IBM,2011-06-27,165.740005,168.240005,165.210007,167.619995,4446700,120.346947
IBM,2011-06-28,168.330002,170.699997,168.009995,170.009995,4850000,122.062874
IBM,2011-06-29,170.610001,170.860001,169.820007,170.539993,3817100,122.443474
IBM,2011-06-30,171.110001,172.449997,170.75,171.550003,5105200,123.168564
IBM,2011-07-01,171.610001,174.649994,171.490005,174.539993,5181700,125.315315
IBM,2011-07-05,173.520004,175.429993,173.520004,175.429993,4586500,125.95433
IBM,2011-07-06,175.190002,177.770004,175.089996,177.710007,5885900,127.591309
IBM,2011-07-07,176.779999,177.270004,176.119995,176.479996,5905600,126.708191
IBM,2011-07-08,175.490005,176.490005,175.009995,176.490005,4399900,126.715378
IBM,2011-07-11,174.899994,176.149994,174.610001,174.990005,4766500,125.63838199999999
IBM,2011-07-12,174.929993,175.369995,173.889999,174.050003,5036800,124.963539
IBM,2011-07-13,174.899994,176.320007,174,174.320007,4074800,125.157356
IBM,2011-07-14,174.399994,176.100006,173.839996,174.229996,4613100,125.092728
IBM,2011-07-15,175.080002,175.940002,174.070007,175.539993,5347100,126.033318
IBM,2011-07-18,174.729996,176.460007,173.580002,175.279999,8879700,125.846642
IBM,2011-07-19,178.740005,185.210007,178.649994,185.210007,13245600,132.976105
IBM,2011-07-20,183.839996,184.419998,183,183.649994,5901100,131.856079
IBM,2011-07-21,183.589996,185.5,182.899994,184.899994,4958400,132.75354
IBM,2011-07-22,184.639999,185.630005,184.259995,185.179993,4516100,132.954575
IBM,2011-07-25,183.889999,184.960007,183.279999,183.699997,4987000,131.891968
IBM,2011-07-26,182.940002,184.050003,182.649994,182.929993,4356200,131.339096
IBM,2011-07-27,182.009995,182.910004,180.929993,181.350006,5806800,130.204727
IBM,2011-07-28,181.059998,183.270004,180.880005,181.800003,4478800,130.527847
IBM,2011-07-29,180.259995,183.429993,179.729996,181.850006,6665600,130.563721
IBM,2011-08-01,182.600006,183.690002,178.5,180.75,5842700,129.773926
IBM,2011-08-02,179.949997,182.289993,177.860001,178.050003,5770400,127.835464
IBM,2011-08-03,177.669998,179.229996,175.410004,178.830002,6722000,128.395447
IBM,2011-08-04,176.5,177.919998,171.179993,171.479996,11022300,123.118317
IBM,2011-08-05,172.100006,174.220001,166.520004,172.979996,11871800,124.195282
IBM,2011-08-08,168.830002,172.610001,166,166.220001,15804900,119.861511
IBM,2011-08-09,167.460007,171.050003,162,170.610001,12517600,123.027061
IBM,2011-08-10,168.179993,169.229996,161.850006,162.539993,13993600,117.20784
IBM,2011-08-11,164.100006,168.770004,162.940002,166.729996,9175600,120.229233
IBM,2011-08-12,168.5,169.380005,165.830002,168.199997,5187000,121.289253
IBM,2011-08-15,171.320007,174,170.389999,172.990005,7645400,124.74334
IBM,2011-08-16,172.190002,172.190002,169,171.240005,5585400,123.481438
IBM,2011-08-17,171.570007,172.990005,169.889999,171.479996,5129700,123.65448
IBM,2011-08-18,166.320007,166.460007,160.160004,163.830002,15082600,118.138031
IBM,2011-08-19,162.169998,163.940002,157.130005,157.539993,14068600,113.602295
IBM,2011-08-22,161.350006,161.679993,157.619995,158.979996,7249100,114.640701
IBM,2011-08-23,160.649994,164.589996,159.529999,164.320007,6923300,118.491356
IBM,2011-08-24,164.130005,166.830002,163.350006,166.759995,6427000,120.250854
IBM,2011-08-25,167.520004,168.529999,164.850006,165.580002,6751600,119.399979
IBM,2011-08-26,164.850006,169.330002,163.279999,169.139999,6438200,121.96711
IBM,2011-08-29,170.580002,172.720001,170.360001,172.619995,5293400,124.476509
IBM,2011-08-30,172.059998,173.509995,170.880005,172.509995,4477700,124.397209
IBM,2011-08-31,173.289993,173.720001,170.710007,171.910004,6074200,123.964546
IBM,2011-09-01,172.710007,173.679993,170.119995,170.330002,5463900,122.825157
IBM,2011-09-02,167.690002,168.929993,166,166.979996,4979100,120.409485
IBM,2011-09-06,163.059998,165.550003,162.199997,165.110001,5761200,119.061035
IBM,2011-09-07,167.279999,167.899994,166.160004,167.309998,6796600,120.647453
IBM,2011-09-08,167,169.580002,165.100006,165.25,6027200,119.162018
IBM,2011-09-09,164.570007,165.190002,160.809998,161.369995,6743900,116.364136
IBM,2011-09-12,160.039993,162.440002,158.759995,162.419998,5247200,117.121284
IBM,2011-09-13,163.639999,163.919998,161.539993,163.429993,4723800,117.849586
IBM,2011-09-14,164.009995,169.660004,161.990005,167.240005,6980700,120.597
IBM,2011-09-15,168.639999,170.160004,167.229996,170.089996,5464400,122.652138
IBM,2011-09-16,171.330002,172.990005,169.740005,172.990005,11048100,124.74334
IBM,2011-09-19,169.5,173.869995,169.429993,173.130005,4755600,124.844269
IBM,2011-09-20,173.570007,177.429993,172.699997,174.720001,6209600,125.990807
IBM,2011-09-21,175,177.669998,172.619995,173.020004,7043100,124.764931
IBM,2011-09-22,168.330002,169.970001,166.5,168.619995,8195600,121.592094
IBM,2011-09-23,166.990005,169.539993,165.759995,169.339996,5586600,122.11129
IBM,2011-09-26,170.960007,174.699997,169.860001,174.509995,6745700,125.839439
IBM,2011-09-27,176.820007,179.619995,176.429993,177.710007,7638800,128.146927
IBM,2011-09-28,177.970001,180.75,177.080002,177.550003,7732200,128.03157
IBM,2011-09-29,179.690002,180.910004,175.529999,179.169998,6944300,129.199707
IBM,2011-09-30,176.009995,178.270004,174.75,174.869995,7807400,126.098991
IBM,2011-10-03,174.360001,177.919998,173.039993,173.289993,9042600,124.959641
IBM,2011-10-04,171.539993,175.070007,168.880005,174.740005,9200000,126.005272
IBM,2011-10-05,174.570007,177.300003,172.679993,176.850006,5851700,127.526825
IBM,2011-10-06,176.809998,181.990005,175.660004,181.690002,7180900,131.016937
IBM,2011-10-07,182.320007,183.720001,181.639999,182.389999,6842600,131.521667
IBM,2011-10-10,183,186.630005,182.899994,186.619995,5784800,134.571915
IBM,2011-10-11,184.589996,186,184.110001,185,5330500,133.403763
IBM,2011-10-12,186.080002,188,185.649994,186.119995,5338200,134.211365
IBM,2011-10-13,184.970001,187.5,184.5,186.820007,4399200,134.716171
IBM,2011-10-14,188.190002,190.529999,187.729996,190.529999,5368200,137.391479
IBM,2011-10-17,189.710007,190.160004,185.899994,186.589996,8790300,134.550308
IBM,2011-10-18,178,179.380005,176.25,178.899994,15729400,129.005051
IBM,2011-10-19,179.679993,179.809998,177.009995,177.389999,6708300,127.916145
IBM,2011-10-20,178.130005,179.240005,176.169998,177.25,7513800,127.815208
IBM,2011-10-21,179.110001,181.669998,178.75,181.630005,8054200,130.973633
IBM,2011-10-24,181.509995,183.389999,180.619995,182.25,5890600,131.420715
